,price,latitude,longitude,baths,bedrooms,Total_Area,PropertyType
315,12500000,31.478013,74.304285,4,4,1905.757,5
316,35500000,31.53384972,74.40962982,5,4,4628.267,5
317,12500000,31.603832,74.322481,3,4,1905.757,5
318,33500000,31.416761,74.176254,0,5,5445.0,5
319,28300000,31.461395,74.41566825,0,3,19329.821,2
320,9000000,31.454073,74.356456,5,6,1633.506,5
321,19500000,31.371391,74.170096,7,5,2722.51,5
322,19000000,31.517283,74.282823,7,5,2722.51,5
323,23000000,31.494408,74.437666,5,4,2722.51,5
324,29000000,31.465422,74.385309,5,4,2722.51,5
325,4950000,31.644237,74.211656,3,3,1361.255,5
326,16000000,31.42342814,74.24503248,7,6,2450.259,5
327,8500000,31.56256937,74.37311064,0,0,816.7529999999999,5
328,41000000,31.471571,74.445906,5,5,5445.0,5
329,45000000,31.50303655,74.36722541,4,4,41382.152,5
330,35000000,31.512228,74.325078,4,5,4083.765,5
331,9000000,31.502166,74.333439,5,6,1633.506,5
332,11500000,31.432105,74.349117,2,4,1361.255,5
333,13500000,31.473596,74.393917,4,3,1361.255,5
334,12000000,31.439026,74.295001,3,5,1361.255,5
335,6500000,31.541236,74.269202,4,5,1361.255,5
336,55000000,31.438916,74.211559,6,5,87120.0,5
337,4500000,31.589742,74.451851,4,2,816.7529999999999,5
338,9200000,31.42128405,74.28128522,4,4,1361.255,5
339,18000000,31.37210597,74.18698311,6,5,2722.51,5
340,20000000,31.456929,74.30593,5,5,2722.51,5
341,8000000,31.421266,74.283972,4,3,1089.004,5
342,16500000,31.452609,74.249039,4,5,2722.51,5
343,7000000,31.5838,74.339662,0,0,1089.004,5
344,9000000,31.5288,74.39312,5,6,1633.506,5
345,12500000,31.452243,74.274702,6,5,1361.255,5
346,6900000,31.476512,74.418805,4,3,9528.785,5
347,3500000,31.572526,74.381002,2,3,544.502,5
348,2000000,31.443218,74.266394,1,1,6534.023999999999,2
349,11000000,31.421572,74.28616,0,0,1361.255,5
350,4700000,31.45895606,74.3623513,2,4,6806.275,5
351,21000000,31.375843,74.189715,6,5,2722.51,5
352,12000000,31.533262,74.316587,5,7,1905.757,5
353,11700000,31.460187,74.432459,3,3,2722.51,2
354,6000000,31.454618,74.368249,4,6,1361.255,5
355,20500000,31.519248,74.445901,4,3,2722.51,5
356,12000000,31.530739,74.456184,4,3,1361.255,5
357,37000000,31.374195,74.191482,5,4,65340.0,5
358,4600000,31.60514316,74.39010143,2,4,1361.255,5
359,120000000,31.521154,74.351367,5,5,10890.0,5
361,32500000,31.522361,74.347172,4,4,3811.514,5
363,50000000,31.522361,74.347172,4,4,5445.0,5
364,90000000,31.505678,74.348202,5,5,65340.0,5
365,30000000,31.451804,74.310436,10,10,5445.0,5
366,9000000,31.458035,74.33581,3,5,1089.004,5
367,13500000,31.53256517,74.28962857,2,5,2178.008,5
368,32500000,31.56505788,74.37323503,8,8,4628.267,5
369,70000000,31.457976,74.32028,4,6,10890.0,5
370,2300000,31.450925,74.354287,2,2,4083.765,5
371,8000000,31.478159,74.254017,3,4,1633.506,5
372,7300000,31.51595587,74.25329871,0,0,9528.785,5
373,19800000,31.379489,74.185926,7,5,2722.51,5
374,12500000,31.508595,74.249121,6,5,1361.255,5
375,37000000,31.540591,74.379937,4,3,3811.514,5
376,6000000,31.560705,74.432512,0,0,1361.255,5
377,9800000,31.523532,74.263744,3,5,1361.255,5
378,6000000,31.58190199,74.49139059,0,0,1361.255,5
379,36500000,31.47982,74.47693,5,5,5445.0,5
380,8900000,31.49858,74.40927,2,2,14157.052,5
381,10500000,31.424488,74.252458,4,3,1361.255,5
383,15000000,31.448802,74.273844,5,5,1361.255,5
384,8700000,31.48482,74.367471,3,5,1361.255,5
385,9500000,31.457976,74.32028,3,3,12251.294999999998,5
386,8500000,31.397055,74.269466,0,0,2178.008,5
387,65000000,31.539206,74.305515,0,0,10890.0,5
388,9500000,31.453414,74.31623,3,3,12251.294999999998,5
389,24500000,31.420094,74.254174,5,5,2722.51,5
390,6000000,31.579632,74.403275,3,3,1089.004,5
391,18000000,31.462347,74.293642,4,4,20418.825,5
392,9000000,31.56976,74.335463,3,2,1633.506,5
393,9500000,31.47280636,74.2863214,3,3,1089.004,5
394,12500000,31.4364749,74.26094055,3,2,2722.51,5
395,9900000,31.550672,74.403963,5,5,1633.506,5
396,3200000,31.49138003,74.25089478,3,6,816.7529999999999,5
397,7200000,31.579015,74.48308,6,6,1905.757,5
398,37500000,31.483283,74.395723,7,6,5445.0,5
399,4000000,31.39867938,74.35496807,3,3,1089.004,5
400,5000000,31.598386,74.480821,2,2,816.7529999999999,5
401,12000000,31.56631425,74.40824389,4,4,14157.052,5
402,12500000,31.495579,74.273386,5,3,1361.255,5
403,22000000,31.508679,74.437326,5,4,2722.51,5
404,16000000,31.48939674,74.41727355,0,0,3811.514,5
405,160000000,31.48944049,74.31992412,3,4,16335.0,5
406,13000000,31.318439,74.225283,0,4,1905.757,5
408,21500000,31.45326801,74.26630408,4,5,2722.51,5
409,13800000,31.4184435,74.28297132,6,5,2178.008,5
410,5000000,31.477098,74.357271,2,2,6806.275,5
411,7500000,31.59724114,74.47458297,5,4,9528.785,5
412,18000000,31.560697,74.421326,8,5,20418.825,5
413,23500000,31.48116,74.456792,0,0,1905.757,5
414,50000000,31.471571,74.445906,6,6,5445.0,5
