price,latitude,longitude,baths,bedrooms,Total_Area,PropertyType
6000000,31.495241,74.374466,2,2,8712.032,2
1800000,31.523532,74.263744,0,1,272.251,2
2300000,31.532235,74.287357,2,2,544.502,2
4000000,31.504068,74.277177,0,2,1361.255,2
5800000,31.375514,74.172735,2,1,8712.032,2
6200000,31.519435,74.345548,1,2,4628.267,2
1495000,31.29428,74.065693,1,2,4628.267,2
5000000,31.482368,74.310751,0,2,13884.801,2
16000000,31.460187,74.432459,3,3,2994.7609999999995,2
2400000,31.471351,74.261484,0,0,4356.016,2
4500000,31.374195,74.191482,1,1,4900.518,2
1056000,31.380313,74.187183,1,1,544.502,2
2500000,31.375843,74.189715,0,1,4900.518,2
2200000,31.471351,74.261484,1,1,4628.267,2
2500000,31.403473,74.196754,2,2,816.7529999999999,2
3200000,31.54913521,74.31511688,2,2,816.7529999999999,2
4000000,31.364887,74.186554,0,0,4900.518,2
3800000,31.522361,74.347172,1,2,6534.023999999999,2
3800000,31.374414,74.177749,0,1,5989.521999999999,2
7613000,31.340254,74.237646,2,2,10617.789,2
18000000,31.536408,74.416037,3,3,2722.51,2
2300000,31.362173,74.282136,1,2,1361.255,2
3400000,31.374195,74.191482,1,1,3811.514,2
14000000,31.460187,74.432459,3,3,272.251,2
3900000,31.375165,74.253992,2,4,816.7529999999999,2
3500000,31.455831,74.366541,2,1,7350.776999999999,2
4500000,31.495579,74.273386,2,2,250470.0,2
3300000,31.315221,74.205594,1,2,1361.255,2
33500000,31.505678,74.348202,0,0,2178.008,2
8400000,31.501178,74.447132,0,0,12251.294999999998,2
1425000,31.317861,74.21814,1,1,6261.772999999999,2
500000,31.643481,74.209875,2,2,7623.027999999999,2
2395000,31.587028,74.495264,0,1,544.502,2
10900000,31.454285,74.378877,2,2,1361.255,2
11500000,31.460187,74.432459,4,3,2722.51,2
7500000,31.522361,74.347172,3,3,1361.255,2
17500000,31.533849,74.409633,4,3,2722.51,2
17500000,31.460187,74.432459,5,4,3267.012,2
24000000,31.461468,74.415529,4,3,20963.327,2
2395000,31.587028,74.495264,1,1,544.502,2
8400000,31.501178,74.447132,0,2,12251.294999999998,2
7000000,31.318439,74.225283,3,3,1905.757,2
5500000,31.534067,74.453945,0,2,1361.255,2
2800000,31.352611,74.165168,0,0,5989.521999999999,2
4392000,31.360307,74.185731,0,1,5989.521999999999,2
12000000,31.544308,74.383832,3,3,2722.51,2
2000000,31.364343,74.213113,1,1,816.7529999999999,2
2000000,31.533262,74.316587,0,0,544.502,2
6700000,31.374195,74.191482,2,2,7350.776999999999,2
17000000,31.460187,74.432459,5,4,3267.012,2
5700000,31.534799,74.451327,2,2,1361.255,2
7200000,31.36488724,74.18655396,2,2,1089.004,2
19500000,31.544308,74.383832,0,0,2722.51,2
4000000,31.374414,74.177749,1,1,6261.772999999999,2
2772000,31.355909,74.181014,1,1,2994.7609999999995,2
14500000,31.466814,74.381748,1,1,10617.789,2
19500000,31.533849,74.409633,3,3,2722.51,2
17000000,31.533849,74.409633,3,3,2722.51,2
7045000,31.374195,74.191482,2,2,7078.526,2
5800000,31.453561,74.398513,0,0,1361.255,2
2400000,31.395119,74.211494,0,1,3539.263,2
4400000,31.380313,74.187183,1,1,6806.275,2
4000000,31.318439,74.225283,2,2,1361.255,2
5000000,31.364887,74.186554,1,1,5989.521999999999,2
1650000,31.40396,74.214497,2,2,816.7529999999999,2
2600000,31.40396,74.214497,4,2,816.7529999999999,2
15000000,31.535451,74.337407,5,5,1905.757,2
1700000,31.411377,74.365253,1,0,3811.514,2
13500000,31.498507,74.339025,4,3,2722.51,2
3500000,31.465641,74.341121,2,2,11434.542,2
2000000,31.413029,74.168558,1,1,9801.036,2
2490000,31.617847,74.217387,2,2,816.7529999999999,2
13500000,31.536408,74.416038,4,3,2722.51,2
16500000,31.462493,74.409342,5,4,3267.012,2
8300000,31.318439,74.225283,3,3,2722.51,2
5000000,31.318439,74.225283,2,2,1361.255,2
8500000,31.413029,74.168558,1,1,9256.534,2
19000000,31.536408,74.416038,0,0,2722.51,2
3500000,31.374195,74.191482,1,1,5717.271,2
6500000,31.482368,74.310751,3,3,1361.255,2
3700000,31.462347,74.293642,1,1,5172.768999999999,2
11800000,31.460187,74.432459,4,3,2722.51,2
3300000,31.361312,74.216386,2,2,11434.542,2
15400000,31.418695,74.22756,3,3,1905.757,2
14000000,31.498507,74.339025,3,3,2722.51,2
5520000,31.44785,74.278207,2,2,8984.283,2
5000000,31.478891,74.329346,2,2,1361.255,2
3800000,31.318439,74.225283,2,2,1361.255,2
2500000,31.389839,74.285774,0,0,816.7529999999999,2
12500000,31.460187,74.432459,4,3,2722.51,2
18000000,31.533849,74.409633,3,3,2722.51,2
5000000,31.381441,74.2648,0,2,1905.757,2
15000000,31.460187,74.432459,3,3,2722.51,2
18000000,31.537458,74.413323,3,3,2722.51,2
2900000,31.36551,74.265726,1,2,1361.255,2
23000000,31.466814,74.381748,3,2,14701.553999999998,2
14000000,31.502374,74.44698,3,3,24774.841,2
14200000,31.460187,74.432459,0,3,2722.51,2
3350000,31.328911,74.209182,1,1,7895.278999999999,2
17000000,31.498507,74.339025,3,3,2994.7609999999995,2
17000000,31.536408,74.416037,4,3,2722.51,2
4500000,31.458979,74.373565,2,1,544.502,2
2000000,31.522361,74.347173,1,1,3267.012,2
3100000,31.473596,74.393917,2,2,1089.004,2
4500000,31.561497,74.291997,2,3,1361.255,2
1525000,31.40396,74.214497,2,2,816.7529999999999,2
2200000,31.362173,74.282136,2,2,1361.255,2
2500000,31.472706,74.326665,2,3,1089.004,2
3650000,31.471351,74.261484,1,1,544.502,2
3500000,31.482368,74.310751,0,1,2450.259,2
18500000,31.533849,74.409633,3,3,2722.51,2
4000000,31.525727,74.327059,2,2,816.7529999999999,2
1650000,31.528032,74.330063,0,0,3267.012,2
18900000,31.536408,74.416037,4,3,2722.51,2
17500000,31.460187,74.432459,4,4,3267.012,2
5500000,31.524191,74.453995,2,2,1361.255,2
3800000,31.318439,74.225283,1,1,1361.255,2
16000000,31.498507,74.339025,4,3,2722.51,2
2100000,31.362173,74.282136,1,2,1361.255,2
15800000,31.533849,74.409633,4,3,2722.51,2
3200000,31.540874,74.310588,2,2,9528.785,2
1300000,31.588187,74.41412,2,2,6806.275,2
3454000,31.578746,74.465526,0,2,1361.255,2
13700000,31.460187,74.432459,3,3,31036.614,2
5700000,31.374195,74.191482,2,2,7078.526,2
3952000,31.374195,74.191482,1,1,4900.518,2
3800000,31.566287,74.298735,2,2,816.7529999999999,2
3000000,31.533262,74.316587,2,2,816.7529999999999,2
2200000,31.471351,74.261484,1,1,4356.016,2
22500000,31.5078,74.318733,0,0,1905.757,2
3200000,31.471351,74.261484,2,2,5989.521999999999,2
8826000,31.556596,74.333982,0,1,4628.267,2
3800000,31.532235,74.287357,2,1,9801.036,2
3400000,31.380313,74.187183,1,1,3811.514,2
1975000,31.40396,74.214497,2,2,816.7529999999999,2
1300000,31.416285,74.211788,0,0,816.7529999999999,2
15000000,31.544308,74.383832,4,4,2722.51,2
12000000,31.461468,74.415529,2,1,6261.772999999999,2
13000000,31.498507,74.339025,3,3,2994.7609999999995,2
20000000,31.460187,74.432459,5,4,3267.012,2
1750000,31.375165,74.253992,1,2,816.7529999999999,2
4500000,31.318439,74.225283,2,2,1361.255,2
4500000,31.374414,74.177749,0,0,6261.772999999999,2
21000000,31.536408,74.416037,4,4,3267.012,2
1490000,31.393209,74.175897,1,1,4900.518,2
4500000,31.320354,74.403441,2,2,1633.506,2
7500000,31.514342,74.3436,2,1,544.502,2
7700000,31.318439,74.225283,3,3,1905.757,2
22500000,31.533849,74.409633,6,4,2722.51,2
15000000,31.473474,74.429569,5,4,3267.012,2
19500000,31.544308,74.383832,3,3,2994.7609999999995,2
6300000,31.418695,74.22756,1,1,4900.518,2
2700000,31.471351,74.261484,1,1,4356.016,2
11000000,31.413029,74.168558,2,2,10073.286999999998,2
18500000,31.460187,74.432459,4,4,2722.51,2
12300000,31.460187,74.432459,3,3,2722.51,2
5000000,31.380313,74.187183,1,1,9801.036,2
3090000,31.429249,74.230785,1,1,9528.785,2
1100000,31.393209,74.175897,1,0,4083.765,2
2500000,31.58263,74.384136,1,1,6806.275,2
1500000,31.40396,74.214497,1,2,1089.004,2
